LEA Code	Code	School Name	Level	Grade Span	Calendar	Magnet Programs	Enhancement Program	"School Membership 2013-14 (ADM, Mo2)"	GRD KI	GRD 1	GRD 2	GRD 3	GRD 4	GRD 5	GRD 6	GRD 7	GRD 8	GRD 9	GRD 10	GRD 11	GRD 12	GRD 13	MALE	FEMALE	"School Membership 2013-14 (MLD,  Mo3)"	American Indian and Alaska Native	Asian	Black or African American	Hispanic or Latino	Native Hawaiian and Other Pacific Islander	Two or More Races	White	% American Indian and Alaska Native	% Asian	% Black or African American	% Hispanic or Latino	% Native Hawaiian and Other Pacific Islander	% Two or More Races	% White	F&R	Percent F&R	LEP	Percent LEP	TITLE 1 PROGRAM	School Board District	School Board Member	Area Superintendent District	Area Superintendent	School Location in Municipal Extra Teritorial Jurisdiction	School Location within Municipal Corporate Limit 	Number Permanent Learning Spaces	20th Day Actual Membership	Special Needs Program Adjustment	Existing School Building Capacity	Long-Range School Campus Capacity [LRSCC]	LRSCC Percent Crowding (inc. Prog. Adjustment) 	Existing Temporary Classrooms	Annual School Campus Capacity [ASCC]	Percent in Temporary Classrooms	ASCC Percent Crowding 
920504	504	Morrisville Elementary	E	KI-5	Y-R			833	141	147	146	137	137	125	-	-	-	-	-	-	-	-	414	424	838	0	233	57	47	0	44	457	0.0%	27.8%	6.8%	5.6%	0.0%	5.3%	54.5%	53	6.3%	68	8.1%	NO	West Raleigh/Morrisville	Zora Felton	Western Wake County	Jacqueline Ellis	Morrisville	MORRISVILLE	35	833	14	659	774	105.7%	788	105.7%	5	14.6%
920514	514	North Forest Pines Elementary	E	KI-5	Y-R			801	121	142	142	145	120	131	-	-	-	-	-	-	-	-	405	394	799	2	31	83	110	0	16	557	0.3%	3.9%	10.4%	13.8%	0.0%	2.0%	69.7%	184	22.8%	56	7.0%	NO	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	40	801	14	774	774	101.6%	788	101.6%	0	0.0%
920516	516	North Ridge Elementary	E	KI-5	T			766	146	129	129	126	117	119	-	-	-	-	-	-	-	-	387	382	769	1	44	173	133	0	22	396	0.1%	5.7%	22.5%	17.3%	0.0%	2.9%	51.5%	297	38.5%	98	12.7%	YES	North Raleigh	Kevin Hill	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	34	766	(96)	517	816	106.4%	720	106.4%	13	41.5%
920520	520	Northwoods Elementary	E	KI-5	T			534	90	99	88	90	72	95	-	-	-	-	-	-	-	-	271	270	541	3	61	120	120	0	21	216	0.6%	11.3%	22.2%	22.2%	0.0%	3.9%	39.9%	217	39.9%	71	13.3%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	34	534	(46)	517	747	76.2%	540	98.9%	3	12.8%
920522	522	Oak Grove Elementary	E	KI-5	Y-R			784	137	123	143	132	123	126	-	-	-	-	-	-	-	-	384	399	783	3	54	62	73	0	19	572	0.4%	6.9%	7.9%	9.3%	0.0%	2.4%	73.1%	113	14.5%	48	6.1%	NO	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Cary	CARY	35	784	(46)	659	774	107.7%	728	107.7%	5	15.8%
920524	524	Olds Elementary	E	KI-5	T			348	53	75	54	51	53	62	-	-	-	-	-	-	-	-	175	177	352	1	11	75	25	0	15	225	0.3%	3.1%	21.3%	7.1%	0.0%	4.3%	63.9%	87	24.6%	11	3.1%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	18	348	157	149	149	113.7%	306	113.7%	0	0.0%
920523	523	Olive Chapel Elementary	E	KI-5	Y-R			"1,009"	146	181	166	147	181	188	-	-	-	-	-	-	-	-	512	502	1014	1	51	38	68	2	36	818	0.1%	5.0%	3.7%	6.7%	0.2%	3.6%	80.7%	62	6.1%	30	3.0%	NO	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Apex	APEX	36	1009	(20)	682	843	122.6%	984	102.5%	14	32.7%
920525	525	Partnership Elementary	E	KI-5	MOD		Partnership Elementary Application School	313	44	50	50	57	56	56	-	-	-	-	-	-	-	-	145	163	308	1	4	99	31	0	24	149	0.3%	1.3%	32.1%	10.1%	0.0%	7.8%	48.4%	87	28.1%	15	4.7%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	21	313	0	356	356	87.9%	356	87.9%	0	0.0%
920530	530	Penny Road Elementary	E	KI-5	T			720	118	132	117	111	125	117	-	-	-	-	-	-	-	-	378	335	713	0	22	123	79	0	34	455	0.0%	3.1%	17.3%	11.1%	0.0%	4.8%	63.8%	188	26.2%	53	7.4%	NO	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Cary	CARY	35	720	(9)	540	609	120.0%	692	104.0%	7	23.3%
920531	531	Pleasant Union Elementary	E	KI-5	Y-R			594	104	86	99	103	94	108	-	-	-	-	-	-	-	-	303	293	596	1	6	49	22	0	20	498	0.2%	1.0%	8.2%	3.7%	0.0%	3.4%	83.6%	43	7.2%	4	0.7%	NO	North Raleigh	Kevin Hill	Northern Wake County	Pamela Kinsey-Barker	Wake County	WAKE COUNTY	35	594	19	659	659	87.6%	678	87.6%	0	0.0%
920532	532	Poe Elementary	E	KI-5	T	Montessori/ GT /AG Basics		352	57	71	66	64	43	51	-	-	-	-	-	-	-	-	183	171	354	1	7	169	86	0	14	77	0.3%	2.0%	47.7%	24.3%	0.0%	4.0%	21.8%	208	58.8%	59	16.9%	YES	East Raleigh	Keith Sutton	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	29	352	41	369	369	85.9%	410	85.9%	0	0.0%
920536	536	Powell Elementary	E	KI-5	T	Gifted & Talented		430	58	82	72	71	65	82	-	-	-	-	-	-	-	-	214	214	428	3	15	241	46	0	14	109	0.7%	3.5%	56.3%	10.7%	0.0%	3.3%	25.5%	236	55.1%	23	5.4%	YES	East Raleigh	Keith Sutton	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	34	430	(9)	458	458	95.8%	449	95.8%	0	0.0%
920540	540	Rand Road Elementary	E	KI-5	Y-R t4			546	100	81	99	95	82	89	-	-	-	-	-	-	-	-	265	278	543	2	9	89	68	1	25	349	0.4%	1.7%	16.4%	12.5%	0.2%	4.6%	64.3%	175	32.2%	30	5.5%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	35	546	(46)	540	678	86.4%	678	80.5%	8	27.1%
920542	542	Reedy Creek Elementary	E	KI-5	T			706	127	126	134	95	115	109	-	-	-	-	-	-	-	-	352	351	703	1	58	216	161	0	33	234	0.1%	8.3%	30.7%	22.9%	0.0%	4.7%	33.3%	348	49.2%	156	21.5%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	38	706	(126)	609	770	109.6%	690	102.3%	9	30.0%
920543	543	Richland Creek Elementary	E	KI-5	T			166	39	24	25	24	29	25	-	-	-	-	-	-	-	-	89	78	167	0	6	59	26	0	2	74	0.0%	3.6%	35.3%	15.6%	0.0%	1.2%	44.3%	86	50.0%	17	10.4%	YES	Northeast Wake	Tom Benton	Northeastern Wake County	Andre Smith	Wake Forest	WAKE FOREST	49	166	(754)	754	754	22.0%	220	75.5%	16	100.0%
920302	302	River Bend Elementary	E	KI-5	Y-R			823	168	144	134	144	115	118	-	-	-	-	-	-	-	-	426	429	855	4	49	304	308	1	38	151	0.5%	5.7%	35.6%	36.0%	0.1%	4.4%	17.7%	547	63.3%	226	26.7%	YES	Central Raleigh	Christine Kushner	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	51	823	(121)	"1,078"	"1,124"	82.1%	957	86.0%	0	0.0%
920544	544	Rolesville Elementary	E	KI-5	T			727	137	124	113	106	130	117	-	-	-	-	-	-	-	-	368	362	730	4	23	226	102	1	26	348	0.5%	3.2%	31.0%	14.0%	0.1%	3.6%	47.7%	283	38.8%	46	6.3%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Rolesville	ROLESVILLE	34	727	0	517	609	119.4%	724	100.4%	9	28.6%
920548	548	Root Elementary	E	KI-5	T		STEM Schools Collaborative Network	520	104	94	89	82	72	79	-	-	-	-	-	-	-	-	263	252	515	1	3	101	51	0	16	343	0.2%	0.6%	19.6%	9.9%	0.0%	3.1%	66.6%	132	25.6%	23	4.4%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	33	520	14	494	494	102.4%	508	102.4%	0	0.0%
920550	550	Salem Elementary	E	KI-5	Y-R			849	123	119	144	148	142	173	-	-	-	-	-	-	-	-	441	408	849	1	78	50	179	1	31	509	0.1%	9.2%	5.9%	21.1%	0.1%	3.7%	60.0%	208	24.3%	124	14.5%	NO	Western Wake	Bill Fletcher 	Southwestern Wake County	Clinton Robinson	Apex	APEX	37	849	(64)	705	843	109.0%	963	88.2%	14	33.4%
920554	554	Sanford Creek Elementary	E	KI-5	Y-R			733	123	110	130	125	122	123	-	-	-	-	-	-	-	-	381	351	732	1	20	140	69	2	28	472	0.1%	2.7%	19.1%	9.4%	0.3%	3.8%	64.5%	175	23.8%	50	6.7%	NO	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Rolesville	ROLESVILLE	40	733	(46)	774	866	89.4%	728	100.7%	0	0.0%
920560	560	Smith Elementary	E	KI-5	T	 International Baccalaureate-PYP 	Global Schools Collaborative Network	655	104	115	112	114	101	109	-	-	-	-	-	-	-	-	343	319	662	1	13	210	310	1	19	108	0.2%	2.0%	31.7%	46.8%	0.2%	2.9%	16.3%	475	71.9%	193	29.6%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	WAKE COUNTY	51	655	(88)	780	803	91.6%	692	94.7%	0	0.0%
920564	564	Stough Elementary	E	KI-5	T		Global Schools Collaborative Network	617	132	103	118	102	69	93	-	-	-	-	-	-	-	-	295	319	614	0	23	253	133	0	34	171	0.0%	3.7%	41.2%	21.7%	0.0%	5.5%	27.9%	306	49.8%	96	15.7%	YES	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	29	617	(46)	402	540	124.9%	586	105.3%	10	39.2%
920568	568	Swift Creek Elementary	E	KI-5	T			544	95	81	89	88	87	104	-	-	-	-	-	-	-	-	281	264	545	2	24	140	91	0	18	270	0.4%	4.4%	25.7%	16.7%	0.0%	3.3%	49.5%	227	41.5%	72	13.2%	YES	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Wake County	WAKE COUNTY	31	544	37	448	494	102.4%	531	102.4%	2	8.7%
920569	569	Sycamore Creek Elementary	E	KI-5	Y-R			"1,133"	199	187	198	212	181	156	-	-	-	-	-	-	-	-	578	555	1133	1	45	67	48	0	48	924	0.1%	4.0%	5.9%	4.2%	0.0%	4.2%	81.6%	39	3.4%	6	0.5%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	51	1133	49	"1,078"	"1,078"	100.5%	"1,127"	100.5%	0	0.0%
920570	570	Timber Drive Elementary	E	KI-5	Y-R t4		Global Schools Collaborative Network	682	118	113	114	108	117	112	-	-	-	-	-	-	-	-	365	312	677	1	11	233	83	2	30	317	0.1%	1.6%	34.4%	12.3%	0.3%	4.4%	46.8%	298	44.0%	52	7.6%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	36	682	(112)	563	701	115.8%	658	103.6%	9	31.5%
920571	571	Turner Creek Elementary	E	KI-5	Y-R			778	117	103	138	141	123	156	-	-	-	-	-	-	-	-	419	365	784	1	116	66	87	1	38	475	0.1%	14.8%	8.4%	11.1%	0.1%	4.8%	60.6%	102	13.0%	41	5.3%	NO	Southern Wake	Susan Evans	Western Wake County	Jacqueline Ellis	Cary	CARY	39	778	(66)	751	843	100.1%	869	89.5%	8	21.2%
920572	572	Underwood Elementary	E	KI-5	T	Gifted & Talented		502	62	99	81	84	87	89	-	-	-	-	-	-	-	-	239	264	503	0	17	60	56	0	16	354	0.0%	3.4%	11.9%	11.1%	0.0%	3.2%	70.4%	102	20.3%	33	6.3%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	33	502	37	435	435	106.4%	472	106.4%	0	0.0%
920576	576	Vance Elementary	E	KI-5	Y-R t4			463	74	87	75	74	73	80	-	-	-	-	-	-	-	-	235	224	459	2	4	69	115	0	22	247	0.4%	0.9%	15.0%	25.1%	0.0%	4.8%	53.8%	195	42.3%	70	15.1%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Wake County	WAKE COUNTY	28	463	(27)	379	517	94.5%	490	94.5%	6	28.2%
920580	580	Vandora Springs Elementary	E	KI-5	T			534	84	100	86	85	89	90	-	-	-	-	-	-	-	-	270	273	543	2	3	184	145	2	18	189	0.4%	0.6%	33.9%	26.7%	0.4%	3.3%	34.8%	277	50.9%	79	14.8%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	34	534	(55)	517	609	96.4%	577	92.5%	5	19.9%
920584	584	Wake Forest Elementary	E	KI-5	T			579	72	96	92	107	102	110	-	-	-	-	-	-	-	-	297	283	580	1	17	124	54	2	36	346	0.2%	2.9%	21.4%	9.3%	0.3%	6.2%	59.7%	221	38.2%	33	5.7%	YES	Northeast Wake	Tom Benton	Northeastern Wake County	Andre Smith	Wake Forest	WAKE FOREST	40	579	(32)	655	655	92.9%	623	92.9%	0	0.0%
920593	593	Wakefield Elementary	E	KI-5	Y-R			672	121	96	111	120	106	118	-	-	-	-	-	-	-	-	348	330	678	2	29	124	146	2	25	350	0.3%	4.3%	18.3%	21.5%	0.3%	3.7%	51.6%	228	33.4%	90	13.2%	YES	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	36	672	(55)	682	843	85.3%	880	76.4%	11	28.8%
920597	597	Wakelon Elementary 	E	KI-5	T			547	95	88	109	82	76	97	-	-	-	-	-	-	-	-	305	249	554	3	5	204	177	0	18	147	0.5%	0.9%	36.8%	31.9%	0.0%	3.2%	26.5%	410	74.1%	89	16.0%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Zebulon	ZEBULON	46	547	(87)	685	731	84.9%	598	91.5%	0	0.0%
920599	599	Walnut Creek Elementary 	E	KI-5	T		STEM Schools Collaborative Network	752	116	138	134	128	116	120	-	-	-	-	-	-	-	-	372	365	737	0	7	472	237	0	13	8	0.0%	0.9%	64.0%	32.2%	0.0%	1.8%	1.1%	543	73.9%	142	18.5%	YES	East Raleigh	Keith Sutton	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	51	752	(64)	800	846	96.2%	782	96.2%	2	5.9%
920596	596	Washington Elementary	E	KI-5	T	Gifted & Talented		590	105	85	102	94	97	107	-	-	-	-	-	-	-	-	323	266	589	4	163	140	93	1	13	175	0.7%	27.7%	23.8%	15.8%	0.2%	2.2%	29.7%	184	31.2%	66	11.1%	NO	South Central Raleigh	Dr. Jim Martin	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	40	590	(34)	569	569	110.3%	535	110.3%	0	0.0%
920598	598	Weatherstone Elementary	E	KI-5	T		STEM Schools Collaborative Network	842	147	138	139	127	144	147	-	-	-	-	-	-	-	-	437	414	851	4	169	138	143	0	33	364	0.5%	19.9%	16.2%	16.8%	0.0%	3.9%	42.8%	219	25.7%	110	13.1%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	36	842	(55)	563	747	121.7%	761	110.6%	11	33.2%
920600	600	Wendell Elementary	E	KI-5	T	Creative Arts & Science		486	105	77	91	62	69	82	-	-	-	-	-	-	-	-	244	239	483	5	6	153	104	0	33	182	1.0%	1.2%	31.7%	21.5%	0.0%	6.8%	37.7%	275	56.7%	48	9.9%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Wendell	WENDELL	35	486	(23)	469	515	98.8%	492	98.8%	2	9.3%
920606	606	West Lake Elementary	E	KI-5	Y-R			900	135	167	145	140	137	176	-	-	-	-	-	-	-	-	462	454	916	1	18	70	147	1	29	650	0.1%	2.0%	7.6%	16.0%	0.1%	3.2%	71.0%	164	17.9%	68	7.5%	NO	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Cary	CARY	35	900	(34)	659	751	125.5%	924	97.4%	13	32.4%
920616	616	Wilburn Elementary	E	KI-5	Y-R		Renaissance School	738	135	152	106	122	98	125	-	-	-	-	-	-	-	-	382	367	749	4	47	331	212	0	40	115	0.5%	6.3%	44.2%	28.3%	0.0%	5.3%	15.4%	500	66.4%	129	17.5%	YES	East Raleigh	Keith Sutton	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	51	738	(161)	"1,078"	"1,147"	74.8%	917	80.5%	0	0.0%
920618	618	Wildwood Forest Elementary	E	KI-5	T			801	125	133	138	135	128	142	-	-	-	-	-	-	-	-	432	377	809	4	66	316	172	1	33	217	0.5%	8.2%	39.1%	21.3%	0.1%	4.1%	26.8%	385	47.6%	115	14.3%	YES	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	37	801	(124)	586	770	124.0%	761	105.3%	13	39.3%
920620	620	Wiley Elementary	E	KI-5	T	International Studies	Global Schools Collaborative Network	459	71	84	72	70	75	87	-	-	-	-	-	-	-	-	211	252	463	0	28	109	46	0	32	248	0.0%	6.0%	23.5%	9.9%	0.0%	6.9%	53.6%	132	28.4%	21	4.6%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	30	459	0	426	426	107.7%	426	107.7%	0	0.0%
920624	624	Willow Springs Elementary	E	KI-5	Y-R			936	166	159	160	162	139	150	-	-	-	-	-	-	-	-	456	474	930	0	8	57	142	2	48	673	0.0%	0.9%	6.1%	15.3%	0.2%	5.2%	72.4%	282	30.4%	54	5.8%	NO	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Wake County	WAKE COUNTY	32	936	(32)	590	774	126.1%	926	101.1%	16	39.7%
920626	626	Yates Mill Elementary	E	KI-5	T			587	98	106	100	102	83	98	-	-	-	-	-	-	-	-	290	290	580	3	10	107	185	2	10	263	0.5%	1.7%	18.4%	31.9%	0.3%	1.7%	45.3%	302	51.6%	132	22.4%	YES	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Wake County	WAKE COUNTY	37	587	(32)	586	586	106.0%	554	106.0%	0	0.0%
920628	628	York Elementary	E	KI-5	T		STEM Schools Collaborative Network	541	109	87	97	87	77	84	-	-	-	-	-	-	-	-	280	252	532	2	10	179	97	0	18	226	0.4%	1.9%	33.6%	18.2%	0.0%	3.4%	42.5%	250	47.1%	57	10.4%	YES	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	33	541	(32)	494	586	97.7%	554	97.7%	4	16.6%
920632	632	Zebulon Elementary	E	KI-5	T	Gifted & Talented		518	88	86	78	91	80	95	-	-	-	-	-	-	-	-	246	266	512	2	4	160	133	0	21	192	0.4%	0.8%	31.3%	26.0%	0.0%	4.1%	37.5%	314	61.7%	75	14.4%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Zebulon	ZEBULON	41	518	(50)	592	684	81.7%	634	81.7%	4	14.5%
920442	442	Hilburn Drive Academy	EM	KI-7	T		STEM Schools Collaborative Network	635	75	84	76	62	68	83	95	92	-	-	-	-	-	-	334	309	643	3	42	121	107	0	20	350	0.5%	6.5%	18.8%	16.6%	0.0%	3.1%	54.4%	172	26.7%	48	7.5%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	34	635	(104)	612	820	77.4%	716	88.7%	12	
920312	312	Apex Middle 	M	.6-8	T			"1,148"	-	-	-	-	-	-	392	385	371	-	-	-	-	-	577	570	1147	1	37	118	135	1	43	812	0.1%	3.2%	10.3%	11.8%	0.1%	3.7%	70.8%	219	19.1%	30	2.6%	NO	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Apex	APEX	63	1148	68	"1,059"	"1,059"	101.9%	"1,127"	101.9%	0	0.0%
920356	356	Carnage Middle	M	.6-8	T	Gifted & Talented/AG Basics		"1,222"	-	-	-	-	-	-	363	442	417	-	-	-	-	-	622	601	1223	5	370	458	107	0	36	247	0.4%	30.3%	37.4%	8.7%	0.0%	2.9%	20.2%	413	33.7%	43	3.4%	NO	East Raleigh	Keith Sutton	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	60	1222	25	955	981	121.5%	"1,162"	105.2%	7	15.7%
920360	360	Carroll Middle	M	.6-8	T	Leadership & Technology	STEM Schools Collaborative Network	841	-	-	-	-	-	-	310	279	252	-	-	-	-	-	462	376	838	4	22	305	205	1	30	271	0.5%	2.6%	36.4%	24.5%	0.1%	3.6%	32.3%	465	55.2%	87	10.2%	NO	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	54	841	43	825	825	96.9%	868	96.9%	0	0.0%
920370	370	Centennial Campus Middle	M	.6-8	MOD	University Connections and Leadership	STEM Schools Collaborative Network	583	-	-	-	-	-	-	221	188	174	-	-	-	-	-	317	270	587	1	24	228	117	3	24	190	0.2%	4.1%	38.8%	19.9%	0.5%	4.1%	32.4%	267	44.8%	47	8.0%	NO	South Central Raleigh	Dr. Jim Martin	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	43	583	0	650	650	89.7%	650	89.7%	0	0.0%
920388	388	Daniels Middle	M	.6-8	T			"1,130"	-	-	-	-	-	-	350	385	395	-	-	-	-	-	604	532	1136	2	24	355	170	0	41	544	0.2%	2.1%	31.3%	15.0%	0.0%	3.6%	47.9%	472	41.3%	82	7.1%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	64	1130	(70)	"1,085"	"1,085"	111.3%	"1,171"	96.5%	6	13.3%
920391	391	Davis Drive Middle	M	.6-8	T			"1,203"	-	-	-	-	-	-	397	414	392	-	-	-	-	-	627	582	1209	2	361	64	83	1	38	660	0.2%	29.9%	5.3%	6.9%	0.1%	3.1%	54.6%	94	7.8%	36	3.0%	NO	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	56	1203	94	877	903	120.7%	"1,257"	95.7%	11	22.8%
920394	394	Dillard Drive Middle	M	.6-8	T			"1,131"	-	-	-	-	-	-	364	380	387	-	-	-	-	-	569	559	1128	2	39	343	213	3	41	487	0.2%	3.5%	30.4%	18.9%	0.3%	3.6%	43.2%	536	47.5%	87	7.6%	NO	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	62	1131	(30)	"1,033"	"1,033"	112.8%	"1,159"	97.6%	6	13.5%
920399	399	Durant Road Middle	M	.6-8	Y-R			"1,358"	-	-	-	-	-	-	470	407	481	-	-	-	-	-	698	660	1358	2	42	387	225	1	70	631	0.1%	3.1%	28.5%	16.6%	0.1%	5.2%	46.5%	516	38.1%	60	4.4%	NO	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	62	1358	(108)	"1,345"	"1,371"	107.5%	"1,471"	92.3%	9	15.9%
920402	402	East Cary Middle	M	.6-8	Y-R		STEM Schools Collaborative Network	828	-	-	-	-	-	-	329	273	226	-	-	-	-	-	448	383	831	4	71	141	179	1	26	409	0.5%	8.5%	17.0%	21.5%	0.1%	3.1%	49.2%	266	32.2%	55	6.7%	NO	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	60	828	(92)	"1,293"	"1,293"	68.9%	"1,201"	68.9%	0	0.0%
920404	404	East Garner Middle	M	.6-8	T	International Baccalaureate/Creative Arts	Global Schools Collaborative Network	"1,337"	-	-	-	-	-	-	457	423	457	-	-	-	-	-	670	664	1334	9	17	692	276	3	55	282	0.7%	1.3%	51.9%	20.7%	0.2%	4.1%	21.1%	833	62.5%	67	4.9%	NO	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	57	1337	(40)	825	955	146.1%	"1,331"	100.5%	21	41.0%
920408	408	East Millbrook Middle	M	.6-8	T	International Baccalaureate/Creative Arts	Global Schools Collaborative Network	997	-	-	-	-	-	-	303	316	378	-	-	-	-	-	493	499	992	3	36	539	222	3	44	145	0.3%	3.6%	54.3%	22.4%	0.3%	4.4%	14.6%	629	63.3%	90	8.9%	NO	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	62	997	0	694	694	143.7%	954	104.5%	10	27.3%
920410	410	East Wake Middle	M	.6-8	Y-R t4		STEM Schools Collaborative Network	920	-	-	-	-	-	-	259	367	294	-	-	-	-	-	494	433	927	8	8	373	343	0	39	156	0.9%	0.9%	40.2%	37.0%	0.0%	4.2%	16.8%	634	68.2%	104	11.2%	NO	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Knightdale	KNIGHTDALE	55	920	(157)	851	"1,111"	96.4%	"1,006"	91.5%	12	31.0%
920424	424	Fuquay-Varina Middle 	M	.6-8	T			833	-	-	-	-	-	-	248	270	315	-	-	-	-	-	418	414	832	4	4	187	162	1	39	435	0.5%	0.5%	22.5%	19.5%	0.1%	4.7%	52.3%	380	45.9%	40	4.8%	NO	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	57	833	0	903	903	92.2%	903	92.2%	0	0.0%
920444	444	Heritage Middle	M	.6-8	Y-R			"1,352"	-	-	-	-	-	-	421	444	487	-	-	-	-	-	670	684	1354	7	39	218	99	0	53	938	0.5%	2.9%	16.1%	7.3%	0.0%	3.9%	69.3%	227	16.7%	20	1.5%	NO	Northeast Wake	Tom Benton	Northeastern Wake County	Andre Smith	Wake Forest	WAKE FOREST	60	1352	(49)	"1,293"	"1,293"	108.7%	"1,244"	108.7%	0	0.0%
920458	458	Holly Grove Middle	M	.6-8	Y-R			"1,384"	-	-	-	-	-	-	498	460	426	-	-	-	-	-	665	711	1376	4	26	176	190	0	62	918	0.3%	1.9%	12.8%	13.8%	0.0%	4.5%	66.7%	320	23.2%	46	3.3%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Holly Springs	HOLLY SPRINGS	82	1384	16	"1,623"	"1,623"	84.4%	"1,639"	84.4%	0	0.0%
920450	450	Holly Ridge Middle	M	.6-8	T			"1,169"	-	-	-	-	-	-	359	402	408	-	-	-	-	-	597	575	1172	1	25	191	162	2	46	745	0.1%	2.1%	16.3%	13.8%	0.2%	3.9%	63.6%	302	25.7%	26	2.2%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Holly Springs	HOLLY SPRINGS	57	1169	(1)	903	981	119.3%	"1,266"	92.3%	14	28.8%
920471	471	Leesville Road Middle	M	.6-8	T			"1,198"	-	-	-	-	-	-	397	402	399	-	-	-	-	-	593	607	1200	2	50	261	159	0	52	676	0.2%	4.2%	21.8%	13.3%	0.0%	4.3%	56.3%	302	25.2%	43	3.6%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	53	1198	(53)	799	799	160.6%	"1,162"	103.1%	16	35.8%
